Position,Win Probability,Average Score
| 1 |   |   |   |   |   |   |   |   |,0.166667,0.833333
| 1 |   |   |   |   |   |   |   | 9 |,0.101852,8.14815
| 1 |   |   |   |   |   |   | 8 |   |,0.134259,6.86574
|   |   |   |   |   |   |   | 8 |   |,0.138889,6.888889
| 1 |   |   |   |   |   |   | 8 | 9 |,0.0406379,14.4686
|   |   |   |   |   |   |   |   | 9 |,0.111111,8.000000
| 1 |   |   |   |   |   | 7 |   |   |,0.166667,5.69444
|   |   |   |   |   |   | 7 |   |   |,0.166667,5.833333
| 1 |   |   |   |   |   | 7 |   | 9 |,0.0648148,12.088
| 1 |   |   |   |   |   | 7 | 8 |   |,0.0640432,11.9167
|   |   |   |   |   |   | 7 | 8 |   |,0.0462963,12.375
| 1 |   |   |   |   |   | 7 | 8 | 9 |,0.026749,18.9456
|   |   |   |   |   |   |   | 8 | 9 |,0.0308642,14.6265
| 1 |   |   |   |   | 6 |   |   |   |,0.189815,4.97685
|   |   |   |   |   | 6 |   |   |   |,0.138889,5.166667
| 1 |   |   |   |   | 6 |   |   | 9 |,0.0653292,11.4486
| 1 |   |   |   |   | 6 |   | 8 |   |,0.0835905,10.0337
|   |   |   |   |   | 6 |   | 8 |   |,0.0385802,11.7855
| 1 |   |   |   |   | 6 |   | 8 | 9 |,0.0323645,16.801
|   |   |   |   |   | 6 |   |   | 9 |,0.0308642,12.9352
| 1 |   |   |   |   | 6 | 7 |   |   |,0.0740741,10.1157
|   |   |   |   |   | 6 | 7 |   |   |,0.0462963,10.6991
| 1 |   |   |   |   | 6 | 7 |   | 9 |,0.0362654,15.7046
| 1 |   |   |   |   | 6 | 7 | 8 |   |,0.0382587,15.6989
|   |   |   |   |   | 6 | 7 | 8 |   |,0.0192901,16.8356
| 1 |   |   |   |   | 6 | 7 | 8 | 9 |,0.0200046,21.9544
|   |   |   |   |   |   | 7 |   | 9 |,0.037037,13.537
|   |   |   |   |   |   | 7 | 8 | 9 |,0.0154321,19.6929
| 1 |   |   |   | 5 |   |   |   |   |,0.157407,4.59259
|   |   |   |   | 5 |   |   |   |   |,0.111111,4.444444
| 1 |   |   |   | 5 |   |   |   | 9 |,0.0534979,11.2305
| 1 |   |   |   | 5 |   |   | 8 |   |,0.0684156,9.85134
|   |   |   |   | 5 |   |   | 8 |   |,0.0308642,11.1327
| 1 |   |   |   | 5 |   |   | 8 | 9 |,0.026406,16.8045
|   |   |   |   | 5 |   |   |   | 9 |,0.0246914,12.2716
| 1 |   |   |   | 5 |   | 7 |   |   |,0.087963,8.26543
|   |   |   |   | 5 |   | 7 |   |   |,0.0648148,9.72222
| 1 |   |   |   | 5 |   | 7 |   | 9 |,0.0426955,13.6432
| 1 |   |   |   | 5 |   | 7 | 8 |   |,0.0480967,13.5203
|   |   |   |   | 5 |   | 7 | 8 |   |,0.0231481,15.8832
| 1 |   |   |   | 5 |   | 7 | 8 | 9 |,0.0238483,19.4303
|   |   |   |   | 5 |   |   | 8 | 9 |,0.0102881,18.6221
| 1 |   |   |   | 5 | 6 |   |   |   |,0.0985082,7.97788
|   |   |   |   | 5 | 6 |   |   |   |,0.0864198,8.83025
| 1 |   |   |   | 5 | 6 |   |   | 9 |,0.0456962,13.591
| 1 |   |   |   | 5 | 6 |   | 8 |   |,0.0585348,12.0005
|   |   |   |   | 5 | 6 |   | 8 |   |,0.0282922,15.0204
| 1 |   |   |   | 5 | 6 |   | 8 | 9 |,0.0273015,17.8206
|   |   |   |   | 5 | 6 |   |   | 9 |,0.0226337,16.2339
| 1 |   |   |   | 5 | 6 | 7 |   |   |,0.0634002,12.1437
|   |   |   |   | 5 | 6 | 7 |   |   |,0.0416667,13.4784
| 1 |   |   |   | 5 | 6 | 7 |   | 9 |,0.0366512,16.2885
| 1 |   |   |   | 5 | 6 | 7 | 8 |   |,0.040002,16.4972
|   |   |   |   | 5 | 6 | 7 | 8 |   |,0.0195045,18.8558
| 1 |   |   |   | 5 | 6 | 7 | 8 | 9 |,0.0236308,21.294
|   |   |   |   |   | 6 |   | 8 | 9 |,0.0128601,19.1931
|   |   |   |   |   | 6 | 7 |   | 9 |,0.0154321,18.0581
|   |   |   |   |   | 6 | 7 | 8 | 9 |,0.00857339,23.646
| 1 |   |   | 4 |   |   |   |   |   |,0.125,4.09722
|   |   |   | 4 |   |   |   |   |   |,0.083333,3.666667
| 1 |   |   | 4 |   |   |   |   | 9 |,0.0416667,10.8843
| 1 |   |   | 4 |   |   |   | 8 |   |,0.0578704,9.1983
|   |   |   | 4 |   |   |   | 8 |   |,0.0509259,10.0833
| 1 |   |   | 4 |   |   |   | 8 | 9 |,0.026106,16.209
|   |   |   | 4 |   |   |   |   | 9 |,0.0185185,11.5463
| 1 |   |   | 4 |   |   | 7 |   |   |,0.101852,7.36111
|   |   |   | 4 |   |   | 7 |   |   |,0.0833333,8.73611
| 1 |   |   | 4 |   |   | 7 |   | 9 |,0.0460391,12.8166
| 1 |   |   | 4 |   |   | 7 | 8 |   |,0.0556199,12.5449
|   |   |   | 4 |   |   | 7 | 8 |   |,0.0362654,14.4977
| 1 |   |   | 4 |   |   | 7 | 8 | 9 |,0.0279492,18.4345
|   |   |   | 4 |   |   |   | 8 | 9 |,0.0138889,17.5818
| 1 |   |   | 4 |   | 6 |   |   |   |,0.131944,6.21065
|   |   |   | 4 |   | 6 |   |   |   |,0.106481,7.88426
| 1 |   |   | 4 |   | 6 |   |   | 9 |,0.0474537,12.6189
| 1 |   |   | 4 |   | 6 |   | 8 |   |,0.0821116,9.5188
|   |   |   | 4 |   | 6 |   | 8 |   |,0.0405093,13.6952
| 1 |   |   | 4 |   | 6 |   | 8 | 9 |,0.032686,16.1297
|   |   |   | 4 |   | 6 |   |   | 9 |,0.0262346,15.3076
| 1 |   |   | 4 |   | 6 | 7 |   |   |,0.090535,9.57883
|   |   |   | 4 |   | 6 | 7 |   |   |,0.054784,12.2199
| 1 |   |   | 4 |   | 6 | 7 |   | 9 |,0.0417953,14.6525
| 1 |   |   | 4 |   | 6 | 7 | 8 |   |,0.0574417,13.194
|   |   |   | 4 |   | 6 | 7 | 8 |   |,0.0282922,17.0184
| 1 |   |   | 4 |   | 6 | 7 | 8 | 9 |,0.0292996,18.9111
|   |   |   | 4 |   |   | 7 |   | 9 |,0.0216049,16.1343
|   |   |   | 4 |   |   | 7 | 8 | 9 |,0.0133745,21.2784
| 1 |   |   | 4 | 5 |   |   |   |   |,0.140432,6.16204
|   |   |   | 4 | 5 |   |   |   |   |,0.12963,7.02778
| 1 |   |   | 4 | 5 |   |   |   | 9 |,0.0380658,13.9914
| 1 |   |   | 4 | 5 |   |   | 8 |   |,0.0690586,11.0818
|   |   |   | 4 | 5 |   |   | 8 |   |,0.0447531,12.8853
| 1 |   |   | 4 | 5 |   |   | 8 | 9 |,0.0252058,18.4536
|   |   |   | 4 | 5 |   |   |   | 9 |,0.0185185,15.5864
| 1 |   |   | 4 | 5 |   | 7 |   |   |,0.116255,7.62757
|   |   |   | 4 | 5 |   | 7 |   |   |,0.0632716,11.0602
| 1 |   |   | 4 | 5 |   | 7 |   | 9 |,0.0429098,14.1607
| 1 |   |   | 4 | 5 |   | 7 | 8 |   |,0.0600137,12.5609
|   |   |   | 4 | 5 |   | 7 | 8 |   |,0.0308642,16.215
| 1 |   |   | 4 | 5 |   | 7 | 8 | 9 |,0.0290042,18.558
|   |   |   | 4 | 5 |   |   | 8 | 9 |,0.010631,21.165
| 1 |   |   | 4 | 5 | 6 |   |   |   |,0.107446,8.20276
|   |   |   | 4 | 5 | 6 |   |   |   |,0.066358,9.98611
| 1 |   |   | 4 | 5 | 6 |   |   | 9 |,0.0377515,15.3002
| 1 |   |   | 4 | 5 | 6 |   | 8 |   |,0.0650006,11.5468
|   |   |   | 4 | 5 | 6 |   | 8 |   |,0.0343793,14.7427
| 1 |   |   | 4 | 5 | 6 |   | 8 | 9 |,0.0292297,18.0323
|   |   |   | 4 | 5 | 6 |   |   | 9 |,0.0178326,17.9921
| 1 |   |   | 4 | 5 | 6 | 7 |   |   |,0.0833119,10.2349
|   |   |   | 4 | 5 | 6 | 7 |   |   |,0.0477109,13.2789
| 1 |   |   | 4 | 5 | 6 | 7 |   | 9 |,0.0395162,16.0172
| 1 |   |   | 4 | 5 | 6 | 7 | 8 |   |,0.054778,14.1208
|   |   |   | 4 | 5 | 6 | 7 | 8 |   |,0.0282136,16.9188
| 1 |   |   | 4 | 5 | 6 | 7 | 8 | 9 |,0.0305855,19.4379
|   |   |   |   | 5 |   | 7 |   | 9 |,0.0185185,17.1019
|   |   |   |   | 5 |   | 7 | 8 | 9 |,0.00943073,22.727
|   |   |   |   | 5 | 6 |   | 8 | 9 |,0.0108596,21.8996
|   |   |   |   | 5 | 6 | 7 |   | 9 |,0.0156036,20.1963
|   |   |   |   | 5 | 6 | 7 | 8 | 9 |,0.00962125,24.7111
| 1 |   | 3 |   |   |   |   |   |   |,0.0925926,3.49074
|   |   | 3 |   |   |   |   |   |   |,0.055556,2.833333
| 1 |   | 3 |   |   |   |   |   | 9 |,0.034465,10.072
| 1 |   | 3 |   |   |   |   | 8 |   |,0.0751029,8.13477
|   |   | 3 |   |   |   |   | 8 |   |,0.0709877,9.02623
| 1 |   | 3 |   |   |   |   | 8 | 9 |,0.0332647,15.0544
|   |   | 3 |   |   |   |   |   | 9 |,0.0401235,10.4259
| 1 |   | 3 |   |   |   | 7 |   |   |,0.115741,6.43056
|   |   | 3 |   |   |   | 7 |   |   |,0.101852,7.74074
| 1 |   | 3 |   |   |   | 7 |   | 9 |,0.0501543,12.4441
| 1 |   | 3 |   |   |   | 7 | 8 |   |,0.0724023,11.1306
|   |   | 3 |   |   |   | 7 | 8 |   |,0.0493827,13.1651
| 1 |   | 3 |   |   |   | 7 | 8 | 9 |,0.0328218,18.0452
|   |   | 3 |   |   |   |   | 8 | 9 |,0.0252058,16.1216
| 1 |   | 3 |   |   | 6 |   |   |   |,0.146091,5.3678
|   |   | 3 |   |   | 6 |   |   |   |,0.126543,6.93056
| 1 |   | 3 |   |   | 6 |   |   | 9 |,0.0497257,12.4961
| 1 |   | 3 |   |   | 6 |   | 8 |   |,0.0904492,9.18343
|   |   | 3 |   |   | 6 |   | 8 |   |,0.0527263,12.4234
| 1 |   | 3 |   |   | 6 |   | 8 | 9 |,0.0389922,15.7666
|   |   | 3 |   |   | 6 |   |   | 9 |,0.0252058,15.0802
| 1 |   | 3 |   |   | 6 | 7 |   |   |,0.108025,8.37174
|   |   | 3 |   |   | 6 | 7 |   |   |,0.0679012,11.0144
| 1 |   | 3 |   |   | 6 | 7 |   | 9 |,0.0434885,14.7416
| 1 |   | 3 |   |   | 6 | 7 | 8 |   |,0.0637789,12.9057
|   |   | 3 |   |   | 6 | 7 | 8 |   |,0.0370799,15.3157
| 1 |   | 3 |   |   | 6 | 7 | 8 | 9 |,0.0321772,19.1127
|   |   | 3 |   |   |   | 7 |   | 9 |,0.0339506,14.7341
|   |   | 3 |   |   |   | 7 | 8 | 9 |,0.0211763,19.3549
| 1 |   | 3 |   | 5 |   |   |   |   |,0.170267,4.77263
|   |   | 3 |   | 5 |   |   |   |   |,0.151235,6.11728
| 1 |   | 3 |   | 5 |   |   |   | 9 |,0.0644719,11.013
| 1 |   | 3 |   | 5 |   |   | 8 |   |,0.0768604,10.0759
|   |   | 3 |   | 5 |   |   | 8 |   |,0.0367798,12.9402
| 1 |   | 3 |   | 5 |   |   | 8 | 9 |,0.0349532,16.0778
|   |   | 3 |   | 5 |   |   |   | 9 |,0.0411523,13.1989
| 1 |   | 3 |   | 5 |   | 7 |   |   |,0.127058,6.52323
|   |   | 3 |   | 5 |   | 7 |   |   |,0.0740741,9.92901
| 1 |   | 3 |   | 5 |   | 7 |   | 9 |,0.0547697,12.4389
| 1 |   | 3 |   | 5 |   | 7 | 8 |   |,0.0705804,11.0454
|   |   | 3 |   | 5 |   | 7 | 8 |   |,0.0313357,15.905
| 1 |   | 3 |   | 5 |   | 7 | 8 | 9 |,0.0362928,16.6767
|   |   | 3 |   | 5 |   |   | 8 | 9 |,0.0154035,19.5878
| 1 |   | 3 |   | 5 | 6 |   |   |   |,0.13756,5.71909
|   |   | 3 |   | 5 | 6 |   |   |   |,0.0745885,8.92353
| 1 |   | 3 |   | 5 | 6 |   |   | 9 |,0.0609877,11.6427
| 1 |   | 3 |   | 5 | 6 |   | 8 |   |,0.070303,10.5358
|   |   | 3 |   | 5 | 6 |   | 8 |   |,0.0311285,15.5346
| 1 |   | 3 |   | 5 | 6 |   | 8 | 9 |,0.0372167,16.124
|   |   | 3 |   | 5 | 6 |   |   | 9 |,0.0269776,16.3288
| 1 |   | 3 |   | 5 | 6 | 7 |   |   |,0.0967721,8.6606
|   |   | 3 |   | 5 | 6 | 7 |   |   |,0.0625857,11.0969
| 1 |   | 3 |   | 5 | 6 | 7 |   | 9 |,0.0486734,14.1492
| 1 |   | 3 |   | 5 | 6 | 7 | 8 |   |,0.0624063,12.5301
|   |   | 3 |   | 5 | 6 | 7 | 8 |   |,0.0321454,16.4213
| 1 |   | 3 |   | 5 | 6 | 7 | 8 | 9 |,0.0364537,17.5418
|   |   | 3 |   |   | 6 |   | 8 | 9 |,0.0163609,20.104
|   |   | 3 |   |   | 6 | 7 |   | 9 |,0.0211763,18.5786
|   |   | 3 |   |   | 6 | 7 | 8 | 9 |,0.0156702,22.0383
| 1 |   | 3 | 4 |   |   |   |   |   |,0.1875,4.52778
|   |   | 3 | 4 |   |   |   |   |   |,0.175926,5.30093
| 1 |   | 3 | 4 |   |   |   |   | 9 |,0.0810185,9.90801
| 1 |   | 3 | 4 |   |   |   | 8 |   |,0.0948431,8.87856
|   |   | 3 | 4 |   |   |   | 8 |   |,0.0625,10.5625
| 1 |   | 3 | 4 |   |   |   | 8 | 9 |,0.0447174,14.6274
|   |   | 3 | 4 |   |   |   |   | 9 |,0.0447531,12.4234
| 1 |   | 3 | 4 |   |   | 7 |   |   |,0.0994084,8.07652
|   |   | 3 | 4 |   |   | 7 |   |   |,0.0524691,10.2546
| 1 |   | 3 | 4 |   |   | 7 |   | 9 |,0.0503901,13.2789
| 1 |   | 3 | 4 |   |   | 7 | 8 |   |,0.0637503,12.0156
|   |   | 3 | 4 |   |   | 7 | 8 |   |,0.0355367,15.1834
| 1 |   | 3 | 4 |   |   | 7 | 8 | 9 |,0.0352398,17.9548
