Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   |   |   |   |   |   |   |   |   |,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   |   |   |   |   |,0.166667,0.833333,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   |   |   |   | 10 |,0.0694444,9.54167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A
| 1 |   |   |   |   |   |   |   | 9 |   |,0.101852,8.14815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A
|   |   |   |   |   |   |   |   | 9 |   |,0.111111,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   |   |   |   |   |   | 9 | 10 |,0.0223765,17.1836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A
|   |   |   |   |   |   |   |   |   | 10 |,0.0833333,9.16667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A
| 1 |   |   |   |   |   |   | 8 |   |   |,0.134259,6.86574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
|   |   |   |   |   |   |   | 8 |   |   |,0.138889,6.88889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   |   | 8 |   | 10 |,0.0378086,14.9097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A
| 1 |   |   |   |   |   |   | 8 | 9 |   |,0.0406379,14.4686,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A
|   |   |   |   |   |   |   | 8 | 9 |   |,0.0308642,14.6265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A
| 1 |   |   |   |   |   |   | 8 | 9 | 10 |,0.01241,23.1727,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A
|   |   |   |   |   |   |   |   | 9 | 10 |,0.0185185,16.9907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A
| 1 |   |   |   |   |   | 7 |   |   |   |,0.166667,5.69444,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
|   |   |   |   |   |   | 7 |   |   |   |,0.166667,5.83333,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   | 7 |   |   | 10 |,0.0462963,13.662,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A
| 1 |   |   |   |   |   | 7 |   | 9 |   |,0.0648148,12.088,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,N/A
|   |   |   |   |   |   | 7 |   | 9 |   |,0.037037,13.537,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A
| 1 |   |   |   |   |   | 7 |   | 9 | 10 |,0.0189043,20.5012,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,1 10,N/A
|   |   |   |   |   |   | 7 |   |   | 10 |,0.0277778,14.7639,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A
| 1 |   |   |   |   |   | 7 | 8 |   |   |,0.0640432,11.9167,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,N/A
