Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
,1.0,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,Yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 12,0.00462963,12.662,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
1 11,0.037037,11.0463,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11
1 11 12,0.00128601,23.0103,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12
12,0.0277778,11.6667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
1 10,0.0694444,9.54167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A
1 10 12,0.00385802,21.135,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12
10,0.0833333,9.16667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A
1 10 11,0.00925926,20.0386,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11
1 10 11 12,0.000578704,31.9817,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
11,0.0555556,10.3889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A
11 12,0.00308642,22.0201,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12
1 9,0.101852,8.14815,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A
1 9 12,0.00565844,19.7166,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12
9,0.111111,8,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
1 9 11,0.0174897,17.9347,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11
1 9 11 12,0.00120027,29.8186,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12
9 12,0.00617284,19.6019,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12
1 9 10,0.0223765,17.1836,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A
1 9 10 12,0.00186471,28.6688,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12
9 10,0.0185185,16.9907,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A
1 9 10 11,0.00424383,27.5366,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,1 11
1 9 10 11 12,0.000385802,39.4516,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
10 12,0.00462963,20.7824,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12
10 11,0.00925926,19.4583,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A
10 11 12,0.000771605,31.0301,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
1 8,0.134259,6.86574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
1 8 12,0.00745885,18.4123,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,12
8,0.138889,6.88889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
1 8 11,0.0226337,16.5947,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,1 11
1 8 11 12,0.00156464,28.4597,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12
8 12,0.00771605,18.4784,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,12
1 8 10,0.0378086,14.9097,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A
1 8 10 12,0.00315072,26.303,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12
8 10,0.0231481,15.8472,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A
1 8 10 11,0.00694444,25.0966,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11
1 8 10 11 12,0.000664438,36.9197,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12
8 11,0.0154321,17.1312,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A
8 11 12,0.00128601,28.6719,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12
1 8 9,0.0406379,14.4686,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A
1 8 9 12,0.00338649,25.8927,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12
8 9,0.0308642,14.6265,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A
1 8 9 11,0.00934499,23.8891,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11
1 8 9 11 12,0.000895443,35.7117,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12
8 9 12,0.00257202,26.1264,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12
1 8 9 10,0.01241,23.1727,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A
1 8 9 10 12,0.00137889,34.4905,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12
8 9 10,0.00771605,23.3395,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A
1 8 9 10 11,0.00304355,33.2895,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11
1 8 9 10 11 12,0.000363178,45.1484,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12
9 11,0.0123457,18.2654,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A
9 11 12,0.00102881,29.8208,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12
9 10 12,0.00154321,28.5257,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12
9 10 11,0.00308642,27.1281,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A
9 10 11 12,0.000342936,38.6045,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
1 7,0.166667,5.69444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
1 7 12,0.00925926,17.2222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12
