Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,Yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 13,0.0856481,11.7477,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 12,0.116512,10.3279,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
12,0.115741,10.6111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 12 13,0.0292781,21.7581,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,13,1 13,N/A,N/A,N/A,N/A
13,0.0972222,11.7361,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
1 11,0.136574,9.21528,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
11,0.125,9.625,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 11 13,0.0439172,19.206,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11,13,1 13,N/A,N/A,N/A,N/A
1 11 12,0.042524,19.1822,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,1 12,N/A,N/A,N/A,N/A,N/A
11 12,0.0289352,19.9034,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 11 12 13,0.0148864,30.1157,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,13,1 13,N/A,N/A,N/A,N/A
12 13,0.0225051,22.0659,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 10,0.145833,8.35417,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0.125,8.75,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 10 13,0.0457176,18.3553,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A,13,1 13,N/A,N/A,N/A,N/A
1 10 12,0.0580633,16.7868,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12,1 12,N/A,N/A,N/A,N/A,N/A
10 12,0.0289352,19.0428,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 10 12 13,0.0194187,27.3903,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12,13,1 13,N/A,N/A,N/A,N/A
10 13,0.0243056,20.2066,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
1 10 11,0.0497685,17.1626,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
10 11,0.03125,18.0469,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 10 11 13,0.0210262,26.3215,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11,13,1 13,N/A,N/A,N/A,N/A
1 10 11 12,0.0213718,26.4964,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,1 12,N/A,N/A,N/A,N/A,N/A
10 11 12,0.0108507,27.8876,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 10 11 12 13,0.00955308,36.7242,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,13,1 13,N/A,N/A,N/A,N/A
11 13,0.0243056,21.0694,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
11 12 13,0.00843943,30.9652,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
1 9,0.14429,7.68904,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,0.115741,7.95833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 13,0.0441315,17.7565,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 9 12,0.0559056,16.2039,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
9 12,0.0267918,18.2881,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 12 13,0.0186054,26.8669,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12,13,1 13,N/A,N/A,N/A,N/A
9 13,0.0225051,19.4469,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
1 9 11,0.0628644,15.0408,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
9 11,0.0289352,17.294,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 11 13,0.0243636,23.9532,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11,13,1 13,N/A,N/A,N/A,N/A
1 9 11 12,0.025616,24.0586,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12,1 12,N/A,N/A,N/A,N/A,N/A
9 11 12,0.0100469,27.1839,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 11 12 13,0.0111116,33.899,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12,13,1 13,N/A,N/A,N/A,N/A
9 12 13,0.00781429,29.4068,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 9 10,0.0493827,15.608,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 10,0.0289352,16.4334,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 13,0.0204315,24.8641,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A,13,1 13,N/A,N/A,N/A,N/A
1 9 10 12,0.0255862,23.1401,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12,1 12,N/A,N/A,N/A,N/A,N/A
9 10 12,0.0100469,26.3411,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 12 13,0.0111,32.9945,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12,13,1 13,N/A,N/A,N/A,N/A
