Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   |   |   |   |   |   |   |   |,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   |   |   |   |,0.166667,0.833333,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   |   |   | 9 |,0.101852,8.05556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A
| 1 |   |   |   |   |   |   | 8 |   |,0.134259,6.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
|   |   |   |   |   |   |   |   | 9 |,0.111111,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
|   |   |   |   |   |   |   | 8 |   |,0.138889,6.88889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   |   | 8 | 9 |,0.0406379,14.2778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A
| 1 |   |   |   |   |   | 7 |   |   |,0.166667,5.55556,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
|   |   |   |   |   |   | 7 |   |   |,0.166667,5.83333,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   | 7 |   | 9 |,0.0648148,11.9167,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,N/A
|   |   |   |   |   |   |   | 8 | 9 |,0.0308642,14.5278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A
| 1 |   |   |   |   |   | 7 | 8 |   |,0.0640432,11.5833,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,N/A
|   |   |   |   |   |   | 7 |   | 9 |,0.037037,13.4444,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A
|   |   |   |   |   |   | 7 | 8 |   |,0.0462963,12.1111,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A
| 1 |   |   |   |   |   | 7 | 8 | 9 |,0.026749,18.5833,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,N/A,N/A
| 1 |   |   |   |   | 6 |   |   |   |,0.189815,4.86111,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A
|   |   |   |   |   | 6 |   |   |   |,0.138889,5.16667,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   | 6 |   |   | 9 |,0.0653292,11.3056,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A
| 1 |   |   |   |   | 6 |   | 8 |   |,0.0835905,9.61111,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
|   |   |   |   |   | 6 |   |   | 9 |,0.0308642,12.9167,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,N/A
|   |   |   |   |   | 6 |   | 8 |   |,0.0385802,11.6389,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
| 1 |   |   |   |   | 6 |   | 8 | 9 |,0.0323645,16.3889,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A
|   |   |   |   |   |   | 7 | 8 | 9 |,0.0154321,19.4722,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,N/A
