Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,Yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 13,0.0856481,11.6667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 12,0.116512,10.2315,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
13,0.0972222,11.7361,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
12,0.115741,10.6111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 12 13,0.0292781,21.5972,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,13,1 13,N/A,N/A,N/A,N/A
1 11,0.136574,9.11111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
11,0.125,9.625,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 11 13,0.0439172,18.963,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11,13,1 13,N/A,N/A,N/A,N/A
12 13,0.0225051,21.9213,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 11 12,0.042524,19.0556,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,1 12,N/A,N/A,N/A,N/A,N/A
11 13,0.0243056,20.9167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
11 12,0.0289352,19.7546,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 11 12 13,0.0148864,29.8009,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,13,1 13,N/A,N/A,N/A,N/A
1 10,0.145833,8.25,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0.125,8.75,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 10 13,0.0457176,18.0833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A,13,1 13,N/A,N/A,N/A,N/A
1 10 12,0.0580633,16.5556,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12,1 12,N/A,N/A,N/A,N/A,N/A
10 13,0.0243056,20.0417,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
10 12,0.0289352,18.8796,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 10 12 13,0.0194187,26.9722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12,13,1 13,N/A,N/A,N/A,N/A
11 12 13,0.00843943,30.6204,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
1 10 11,0.0497685,17.0046,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
10 11,0.03125,17.875,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 10 11 13,0.0210262,26.0139,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11,13,1 13,N/A,N/A,N/A,N/A
10 12 13,0.00843943,29.8611,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 10 11 12,0.0213718,26.2546,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,1 12,N/A,N/A,N/A,N/A,N/A
10 11 13,0.00911458,28.8472,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,13,N/A,N/A,N/A,N/A,N/A
10 11 12,0.0108507,27.5231,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 10 11 12 13,0.00955308,36.2639,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,13,1 13,N/A,N/A,N/A,N/A
1 9,0.14429,7.59259,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,0.115741,7.95833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 13,0.0441315,17.4444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 9 12,0.0559056,15.9167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
9 13,0.0225051,19.2685,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
9 12,0.0267918,18.1065,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 12 13,0.0186054,26.4213,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12,13,1 13,N/A,N/A,N/A,N/A
1 9 11,0.0628644,14.7407,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
9 11,0.0289352,17.1019,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 11 13,0.0243636,23.412,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11,13,1 13,N/A,N/A,N/A,N/A
9 12 13,0.00781429,29.2037,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 9 11 12,0.025616,23.625,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12,1 12,N/A,N/A,N/A,N/A,N/A
9 11 13,0.00843943,28.1898,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
9 11 12,0.0100469,27.0093,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 11 12 13,0.0111116,33.3148,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12,13,1 13,N/A,N/A,N/A,N/A
10 11 12 13,0.00421971,37.9444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,13,N/A,N/A,N/A,N/A,N/A
1 9 10,0.0493827,15.3611,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 10,0.0289352,16.2269,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 13,0.0204315,24.5833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A,13,1 13,N/A,N/A,N/A,N/A
