Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 12,0.00462963,12.6389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
1 11,0.037037,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11
12,0.0277778,11.6667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
1 11 12,0.00128601,22.9722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12
1 10,0.0694444,9.47222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A
1 10 12,0.00385802,21.0278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12
11,0.0555556,10.3889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A
11 12,0.00308642,21.9722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12
10,0.0833333,9.16667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A
1 10 11,0.00925926,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11
10 12,0.00462963,20.7222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12
1 10 11 12,0.000578704,31.8889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
1 9,0.101852,8.05556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A
1 9 12,0.00565844,19.5833,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12
9,0.111111,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
1 9 11,0.0174897,17.8889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11
9 12,0.00617284,19.5278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12
1 9 11 12,0.00120027,29.5556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12
10 11,0.00925926,19.4167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A
10 11 12,0.000771605,30.8889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
1 9 10,0.0223765,17.1111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A
1 9 10 12,0.00186471,28.5556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12
9 11,0.0123457,18.2222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A
9 11 12,0.00102881,29.6667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12
9 10,0.0185185,16.9722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A
1 9 10 11,0.00424383,27.4167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,1 11
9 10 12,0.00154321,28.3611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12
1 9 10 11 12,0.000385802,39.2222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
